text,labels,Clean_Text
"Ah, to close my eyes and let time fly by, Because there's so much to gain By forgetting these dreams driving me insane.","['fear', 'sadness']","Ah, close eyes let time fly by, there's gain forgetting dreams driving insane."
"And then we have the ultimately retarded `` Spanish Lesson '' ( which I kind of like because it's so entertainingly bad ) and `` Incredible, '' which just flat-out gets on my nerves.",['anger'],"ultimately retarded `` Spanish Lesson '' ( kind like entertainingly bad ) `` Incredible, '' flat-out gets nerves."
"Back to earth As I opened my eye, I was lying back on a hospital bed with my right leg elevated, cupped in the hands of the young Indian doctor who had been trying to save my life.","['fear', 'sadness']","earth opened eye, lying hospital bed right leg elevated, cupped hands young Indian doctor trying save life."
This expert also was the ex-husband of the murdered woman.,"['fear', 'sadness', 'surprise']",expert ex-husband murdered woman.
"I did manage to remember to hang out the washing, but only because the annoying beeping sound the washer makes when its finished a cycle finally filtered into my brain and started to irritate me enough that I couldn't ignore it any longer.","['anger', 'fear']","manage remember hang washing, annoying beeping sound washer makes finished cycle finally filtered brain started irritate ignore longer."
It cut through all the fear and anger in my brain.,"['anger', 'fear']",cut fear anger brain.
"Back in 2006 when I was in high school I took Earth Sciences, and in the spring I was on my teacher's computer when I came across a photo of me giving the thumbs up.","['joy', 'surprise']","2006 high school took Earth Sciences, spring teacher's computer came photo giving thumbs up."
"But occasionally, my nerves still do get the best of me, and I start to flop around in the breathless panic of a fish pulled out of water and tossed onto the floor to die helplessly.",['fear'],"occasionally, nerves best me, start flop breathless panic fish pulled water tossed floor die helplessly."
The effect was a feeling I've described as running my hand along a cheese grater.,"['fear', 'sadness']",effect feeling I've described running hand cheese grater.
asked a flustered girl that bumped into my arm.,['fear'],asked flustered girl bumped arm.
A sharp stinging stripe across the backs of my legs.,"['fear', 'sadness']",sharp stinging stripe backs legs.
"The Redmond Cycling Club that organizes this event, had made-to-order coldcut sandwiches and -- be still my heart -- ice-cold cans of Coca-Cola at the final aid station.",['joy'],"Redmond Cycling Club organizes event, made-to-order coldcut sandwiches -- heart -- ice-cold cans Coca-Cola final aid station."
i was walking around cursing the day in my head.,"['anger', 'fear', 'sadness']",walking cursing day head.
I shook my head and willed every broken hearted thought to go away.,['sadness'],shook head willed broken hearted thought away.
"i hope whatever i did do today, the two paper 2s adn the reading of the ntoes adn the definitaions i recited, stick in my head and i do nt forget anything: ( sigh.","['fear', 'sadness']","hope today, paper 2s adn reading ntoes adn definitaions recited, stick head nt forget anything: ( sigh."
"About 3 years ago I had a very vivid dream about my deceased aunt and uncle, Sylvia & John.","['sadness', 'surprise']","3 years ago vivid dream deceased aunt uncle, Sylvia &amp; John."
"It could have been my eye -- but my glasses probably blocked that from happening, and diverted the injury higher up on my head.","['fear', 'surprise']","eye -- glasses probably blocked happening, diverted injury higher head."
`` I went to put my hand in my pockets and realised what they'd done.,['fear'],`` went hand pockets realised they'd done.
"but my heart pounded in my chest and i couldnt breath, couldnt even look at him.",['fear'],"heart pounded chest couldnt breath, couldnt look him."
I was never so happy to have my feet on solid ground though.,['joy'],happy feet solid ground though.
They don't seem to be evil or dangerous.,['fear'],evil dangerous.
I always like to head out into the boonies after I have been away for a long time... to get my head straight.,['joy'],like head boonies away long time... head straight.
"I trust this man even less than the woman, but I can't put my finger on it.",['fear'],"trust man woman, can't finger it."
We locked our door and kept our lights on the whole night and just watched movies until dawn.,['fear'],locked door kept lights night watched movies dawn.
Just doing something this stupid as a kid.,['sadness'],stupid kid.
FISHIN '' I woke up in the morning my head was throbing black and blue eyed thought I'd died smashed up my TV set.,"['fear', 'sadness', 'surprise']",FISHIN '' woke morning head throbing black blue eyed thought I'd died smashed TV set.
It was as if everything was silent for just a second.,"['fear', 'surprise']",silent second.
"I filled it out and tried to stay calm, but my legs were still shaking!",['fear'],"filled tried stay calm, legs shaking!"
""" The man told her that he had and she said, ""Well, I might as well tell you the story.",['surprise'],""" man told said, ""Well, tell story."
"After dragging myself through all of those sets, my stomach being upset, and my body feeling entirely fatigued <CUR> the LAST thing I wanted to do was hop on the treadmill for some incline walking.","['fear', 'sadness']","dragging sets, stomach upset, body feeling entirely fatigued $ thing wanted hop treadmill incline walking."
"The first five minutes I could feel my heart pounding in my chest, as our Q&A went on I got more relaxed.","['fear', 'joy']","minutes feel heart pounding chest, Q&A went got relaxed."
And these were brutal wounds.,"['anger', 'fear', 'sadness', 'surprise']",brutal wounds.
"Slowly sliding down towards the floor, not having the strength to stay up on my feet any longer, hearing the words `` It's time '' and thinking please no.","['fear', 'sadness']","Slowly sliding floor, strength stay feet longer, hearing words `` time '' thinking no."
My eyes welled up with tears and my voice cracked.,"['fear', 'sadness']",eyes welled tears voice cracked.
"However, I made sure to take a few swishes of water just so my mouth felt like it got a lot of moisture.",['joy'],"However, sure swishes water mouth felt like got lot moisture."
"Thankfully, he doesn't really hold grudges, so I think every day starts with a clean slate... Of course, like a normal human being, he has his limit, which I am trying REALLY REALLY hard to avoid reaching.Also, my throat is dry and hurting because I slept with my mouth wide open last night, and the two times I napped at the boy's house, I slept with it open, again.",['fear'],"Thankfully, hold grudges, think day starts clean slate... course, like normal human being, limit, trying hard avoid reaching.Also, throat dry hurting slept mouth wide open night, times napped boy's house, slept open, again."
""" ""look... out your window.",['surprise'],""" ""look... window."
The silence cupped my ears where it was all I could see and hear.,"['fear', 'sadness']",silence cupped ears hear.
"i'm happy that someone was there, but then again, there still is that part of me, driven deep down and rooted in the ground that keeps on whispering in my ear, `` in the end, all you got is you, remember that. ''","['fear', 'joy', 'sadness']","i'm happy there, again, me, driven deep rooted ground keeps whispering ear, `` end, got you, remember that. ''"
"So not an objection at the ceremony, but my wife's parents and brother didn't come to the ceremony at all out of objection to us getting hitched.","['anger', 'fear', 'sadness', 'surprise']","objection ceremony, wife's parents brother come ceremony objection getting hitched."
The stench hit me first.,"['fear', 'surprise']",stench hit first.
It was the dance of my heart.,['joy'],dance heart.
He gave me my love of science and education.,['joy'],gave love science education.
I thought it was a joke.,"['fear', 'surprise']",thought joke.
"I feel like my stomach's had a growth spurt, which leaves me aching and sore.","['fear', 'sadness']","feel like stomach's growth spurt, leaves aching sore."
I got a little burn on my finger and it ticked me off.,"['anger', 'fear', 'sadness']",got little burn finger ticked off.
I'm confused about it but keep pressing.,"['fear', 'surprise']",I'm confused pressing.
"The second time I saw her, she told me she was a registered sex offender.","['anger', 'fear', 'sadness', 'surprise']","second time saw her, told registered sex offender."
"She was rude to our photographer, she was rude to a few guests, and to us.",['anger'],"rude photographer, rude guests, us."
"an hour after i got here my eyes swelled up and are so itchy, my athsma is ridiculous ( in vic i do nt even take medications!","['fear', 'sadness']","hour got eyes swelled itchy, athsma ridiculous ( vic nt medications!"
"as usual, i feel like im carrying too much burdens in my heart.","['fear', 'sadness']","usual, feel like im carrying burdens heart."
"i hate the idea of not making progress, it breaks my heart to see time being wasted away, standing still-i hate the idea that i can not see the world.","['anger', 'fear', 'sadness']","hate idea making progress, breaks heart time wasted away, standing still-i hate idea world."
But I spent two days reading and still didn't hit the end of this thread.,"['anger', 'fear', 'surprise']",spent days reading hit end thread.
"But I was feeling really nervous, and my hands were sweaty.",['fear'],"feeling nervous, hands sweaty."
and throw my hands in the air.,['joy'],throw hands air.
Then the cop shows up.,"['fear', 'surprise']",cop shows up.
"Teetering for a moment, I caught myself from falling only to fling myself to my knees in the dirt.",['fear'],"Teetering moment, caught falling fling knees dirt."
"I fumbled my way toward the light, and my fingers closed around the doorknob.",['fear'],"fumbled way light, fingers closed doorknob."
"I did as much time as I could on my feet for closing gate, but had to sit for stretch before cannon.",['fear'],"time feet closing gate, sit stretch cannon."
"The weather up there are super cozy, I went to wash my hand, the water are freezing!!!",['fear'],"weather super cozy, went wash hand, water freezing!!!"
"But the emotional constrictor that had wrapped itself around my ribs and stomach seems to have gone, and it's not a strain to smile.",['joy'],"emotional constrictor wrapped ribs stomach gone, strain smile."
"Nothing like the city to remind you that you are among humans and animals.ProActive Acne Shit Review: So, after only a week of using ProActive, I started to notice the difference in my skin.",['joy'],"like city remind humans animals.ProActive Acne Shit Review: So, week ProActive, started notice difference skin."
She certainly has the right name... View at the glaciers in the distance.Me being silly... So I had a good morning before going to work and feeling the world-at least the hotel world-crumbling at my feet...,"['fear', 'sadness']",certainly right name... View glaciers distance.Me silly... good morning going work feeling world-at hotel world-crumbling feet...
My heart beat so fast when the beautiful man give Yunho a peck on his left cheek.,"['fear', 'joy']",heart beat fast beautiful man Yunho peck left cheek.
The nightmares and fear were new and inexplicable.,"['fear', 'sadness', 'surprise']",nightmares fear new inexplicable.
I could feel my heart breaking into millions of pieces.,['sadness'],feel heart breaking millions pieces.
"The kissing and touching don't stop, they just get more... interesting.","['joy', 'surprise']","kissing touching stop, more... interesting."
"I was trying to concentrate on not falling, but I totally slipped and almost fell on my face.","['fear', 'surprise']","trying concentrate falling, totally slipped fell face."
"im not ashamed to say sometimes i have more fun clipping my nails, pumicing my feet, moisturizing my body and watching the Wedding Planner on TBS with a mask on my face while conditioning my hands and feet with special lotion and gloves & booties on.",['joy'],"im ashamed fun clipping nails, pumicing feet, moisturizing body watching Wedding Planner TBS mask face conditioning hands feet special lotion gloves & booties on."
We are earths last hope against extinction.,"['fear', 'sadness', 'surprise']",earths hope extinction.
Went to a party at a friends house.,['joy'],Went party friends house.
Fast forward six months - I've moved to central Virginia for work.,['joy'],Fast forward months - I've moved central Virginia work.
( HUGE grin on my face now. ),['joy'],( HUGE grin face now. )
"pops been moved out of icu now and he's going well, but now i've sprained my wrist... stupid hockey!","['anger', 'fear', 'sadness']","pops moved icu he's going well, i've sprained wrist... stupid hockey!"
"I told them I felt a bit sick so they hurriedly put a sickbowl on my chest, then 10 seconds later I spewed up but a lot of it when all down my new white tshirt.","['fear', 'sadness', 'surprise']","told felt bit sick hurriedly sickbowl chest, 10 seconds later spewed lot new white tshirt."
"Eventually the fridge was back in place and I had even managed to score a minor victory against my fear of fire extinguishers as I successfully moved it across the room ( the fear comes from one fell on my foot, long story! )",['fear'],"Eventually fridge place managed score minor victory fear fire extinguishers successfully moved room ( fear comes fell foot, long story! )"
My jaw nearly dropped.,['surprise'],jaw nearly dropped.
"After i wash my face and brush my teeth, i go out from the kitchen and found that, someone sleep on my place, using my blanket and also pillow.","['fear', 'surprise']","wash face brush teeth, kitchen found that, sleep place, blanket pillow."
Not creepy but ghostly.,"['fear', 'surprise']",creepy ghostly.
"What came out of my mouth was: ""Because white reigns supreme.","['anger', 'fear', 'sadness', 'surprise']","came mouth was: ""Because white reigns supreme."
"Don't walk away, I'm talking to you, there's bruises on my face.","['anger', 'fear', 'sadness']","walk away, I'm talking you, there's bruises face."
as i go to take the hook out of my 4th fish... it shakes and embeds the hook in my hand.,"['anger', 'fear', 'sadness', 'surprise']",hook 4th fish... shakes embeds hook hand.
I saw peppermint patties.,"['joy', 'surprise']",saw peppermint patties.
It better not be for my parenting.,"['anger', 'fear']",better parenting.
Can I add a bridesmaid-zilla story?,"['joy', 'surprise']",add bridesmaid-zilla story?
We ended up keeping the old house and renting it out though.,['joy'],ended keeping old house renting though.
"Most mornings I drift in and out, slowly shaking off the fuddle of sleep but yesterday I was right there with my eyes wide open and the clock saying eight.",['joy'],"mornings drift out, slowly shaking fuddle sleep yesterday right eyes wide open clock saying eight."
`` My God <CUR> '' `` What's wrong with my arm? '',"['fear', 'surprise']",`` God $ '' `` What's wrong arm? ''
Could be wrong though.,['fear'],wrong though.
"Every movement of the body below my waist caused pain, in such a way that I could anticipate it and, with a bit of understanding, even cope.","['fear', 'sadness']","movement body waist caused pain, way anticipate and, bit understanding, cope."
First day of school.,"['fear', 'joy']",day school.
"She opened the door of the moving vehicle, jumped out, and landed on her feet.","['fear', 'joy', 'surprise']","opened door moving vehicle, jumped out, landed feet."
I was scared shitless.,"['fear', 'surprise']",scared shitless.
Not a single soul.,"['fear', 'sadness', 'surprise']",single soul.
"As the blood seems to return to my head, I can think clearly and muster the energy to keep going.","['fear', 'joy']","blood return head, think clearly muster energy going."
"I fell out of a tree earlier today, and landed on my head after about an eight foot drop onto concrete.","['fear', 'sadness', 'surprise']","fell tree earlier today, landed head foot drop concrete."
"But well need large plastic bags, I dont know where to get those.",['fear'],"need large plastic bags, dont know those."
I wish I had.,['sadness'],wish had.
"the next thing i knew, i felt this huge impact on my head, and then a few more after that.","['fear', 'surprise']","thing knew, felt huge impact head, that."
she was very wrong.,['anger'],wrong.
They seemed quit some distance away from me.,['fear'],quit distance away me.
My back is jacked up again.,"['anger', 'fear', 'sadness']",jacked again.
As he approached the edge of it he took to prep hops.,"['fear', 'surprise']",approached edge took prep hops.
"In silence, I prayed and searched my heart....","['fear', 'sadness']","silence, prayed searched heart...."
I couldnt walk without tripping over her.,"['anger', 'fear']",couldnt walk tripping her.
You know the ones?,['surprise'],know ones?
"I could hardly believe that after all this time, after so many seasons spent reaping despair, he was finally here, in my arms.",['joy'],"hardly believe time, seasons spent reaping despair, finally here, arms."
"We could have been part of organized crime, but my grandpa (who died before I was born) didn't want any part of it and decided to live an honest life.","['joy', 'sadness', 'surprise']","organized crime, grandpa (who died born) want decided live honest life."
They hooked me up to an IV to give me some medicine ( not sure what kind ) and gave me a shot of adrenaline to try to get the swelling in my throat down.,['fear'],hooked IV medicine ( sure kind ) gave shot adrenaline try swelling throat down.
I remembered back to last week when my neck was really hurting.,"['fear', 'sadness']",remembered week neck hurting.
"The form itself did not shed any light, but was light.",['surprise'],"form shed light, light."
"It was just a knick, but and the blood <CUR> The rain was cold, but my tears were hot against my cheeks.","['fear', 'sadness']","knick, blood $ rain cold, tears hot cheeks."
"It looked like there was a golfball on the side of my knee... a purple, blueish golfball.","['fear', 'sadness']","looked like golfball knee... purple, blueish golfball."
"This is typical, as they need to justify their existence.",['anger'],"typical, need justify existence."
Seemingly because the bartenders were very heavy handed.,['anger'],Seemingly bartenders heavy handed.
& # x 26; nbsp; I folded my arms on the table and rested my head on my hands-but in a few moments there was a lot of tension in my jaw from this positon.,['fear'],& # x 26; nbsp; folded arms table rested head hands-but moments lot tension jaw positon.
My pride hurt worse than my leg did.,"['anger', 'sadness']",pride hurt worse leg did.
Blotted out the moon.,"['fear', 'surprise']",Blotted moon.
My hand hurt so bad afterwards.,['fear'],hand hurt bad afterwards.
I had just had a procedure done to implant an Intrathecal Baclofen Pump in my belly.,['fear'],procedure implant Intrathecal Baclofen Pump belly.
"Last I heard, that other guy was homeless and dead.","['fear', 'sadness', 'surprise']","heard, guy homeless dead."
"The following two days, I was in a moderate amount of pain and had very limited range of motion in my arms.","['fear', 'sadness']","following days, moderate pain limited range motion arms."
I felt a slight heat creep over my cheeks and I giggled lightly coming back to the thought that he was all mine.,['joy'],felt slight heat creep cheeks giggled lightly coming thought mine.
"Let me put it this way: I burned so much as a kid that my nose is permanently red.I look back on all of this skin damage, and wish I could go back to my old self and do some kind of scared straight intervention.",['sadness'],"Let way: burned kid nose permanently red.I look skin damage, wish old self kind scared straight intervention."
"After the deception, but before the divorce.","['anger', 'fear', 'sadness']","deception, divorce."
It just... went away.,"['fear', 'sadness', 'surprise']",just... went away.
"It was REALLY nice to feel the sun on my face because the winter blues really are real-for me at least: ) It was Brent's birthday while we were there, and my awesome family throw him a little birthday party ( I was so glad that I didn't have to do a thing )!",['joy'],"nice feel sun face winter blues real-for least: ) Brent's birthday there, awesome family throw little birthday party ( glad thing )!"
"Stuck in this place, With the world rushing by, Tears stream down my face, As I stand here, waiting to die.","['fear', 'sadness']","Stuck place, world rushing by, Tears stream face, stand here, waiting die."
the cold outside feels so good on my skin.,['joy'],cold outside feels good skin.
Several times in the last couple weeks I've had to scratch my head cleverly for a few minutes trying to figure out how to get into my office.,['fear'],times couple weeks I've scratch head cleverly minutes trying figure office.
"Not moving, not menacing.",['fear'],"moving, menacing."
The first thought that came into my head was that I needed to go to work as soon as possible.,['fear'],thought came head needed work soon possible.
A rather regular occurrence happened at night upstairs.,['fear'],regular occurrence happened night upstairs.
"i play it over and over in my head, word for word.","['fear', 'sadness']","play head, word word."
"So many things were going on in my life, in my head and in my heart that I just couldn't write any of them down.","['fear', 'sadness']","things going life, head heart write down."
It felt so real that I actually woke up.,"['fear', 'surprise']",felt real actually woke up.
My ex-boyfriend was just a horrible liar.,"['anger', 'sadness']",ex-boyfriend horrible liar.
The police were trying to calm him down.,['fear'],police trying calm down.
My brain stops and then I feel like conking out.,"['fear', 'sadness']",brain stops feel like conking out.
Your son is not liking the strap around my belly. '',['fear'],son liking strap belly. ''
At one point it even came up to my foot to nibble on the grass near my toes.,['joy'],point came foot nibble grass near toes.
But it was good; it kept me on my feet for a long while.Knee?,['joy'],good; kept feet long while.Knee?
"I pull the trigger, feel the recoil in my hand along with the professionally, almost muted sound and watch him shudder and then go limp against me.","['anger', 'fear', 'sadness']","pull trigger, feel recoil hand professionally, muted sound watch shudder limp me."
"Well I make it about 2 miles from my apartment when I notice a small drop on my arm and then another, I say uh oh I better get back then it starts to rain a little, then harder and harder, to the point that im soaked, even my shoes are filled with water.","['fear', 'sadness']","2 miles apartment notice small drop arm another, uh oh better starts rain little, harder harder, point im soaked, shoes filled water."
"Last night I walked into my room ( without turning on the light switch ) and tripped over a laundry basket, and fell on my face.","['fear', 'sadness', 'surprise']","night walked room ( turning light switch ) tripped laundry basket, fell face."
I was completely dumbstruck.,['surprise'],completely dumbstruck.
"As I was placing them in the `` to be thrown out '' pile, something caught my eye and made me look closer.",['surprise'],"placing `` thrown '' pile, caught eye look closer."
"As I frantically grabbed at it to pull it up, I dropped EVERY SiNGLE THING in my hands.","['anger', 'fear', 'surprise']","frantically grabbed pull up, dropped SiNGLE THING hands."
"We always just thought she was scared of the dark, just like most kids are.",['fear'],"thought scared dark, like kids are."
"She claimed I beat her, raped her, tortured, and abused her.","['anger', 'fear', 'sadness', 'surprise']","claimed beat her, raped her, tortured, abused her."
I had a lump in my throat several times.,"['fear', 'sadness']",lump throat times.
I know last time I did this I hurt my back a little but I never learn I'm hard headed I wanted to burn up some more calories.,['fear'],know time hurt little learn I'm hard headed wanted burn calories.
"It started out slow, like we'd fight once a month over stupid little things and sometimes big things.","['anger', 'fear', 'sadness']","started slow, like we'd fight month stupid little things big things."
I fell asleep with visions of 5 grand dancing in my head.,['joy'],fell asleep visions 5 grand dancing head.
I will defend this to the grave.,['anger'],defend grave.
Coupled with the sound of rotors deafeningly stunning my ears and the very air in and around the cab of my car.,"['fear', 'surprise']",Coupled sound rotors deafeningly stunning ears air cab car.
Apparently the aftermath of the clogged toilet was pretty gruesome.,"['fear', 'surprise']",Apparently aftermath clogged toilet pretty gruesome.
"Staring down at the device, I felt this cold chill start at the base of my neck and spread throughout my body.","['fear', 'surprise']","Staring device, felt cold chill start base neck spread body."
It was funny because I thought I broke my arm.,"['fear', 'joy', 'surprise']",funny thought broke arm.
"idk why, my eyes just got really watery and i felt really scared and felt so lost all of a sudden: /","['fear', 'sadness', 'surprise']","idk why, eyes got watery felt scared felt lost sudden: /"
i did nt drink cause my lungs were giving me problems but the rest did.,['fear'],nt drink cause lungs giving problems rest did.
My heart melted.,['joy'],heart melted.
Weird guy to say the least,"['fear', 'surprise']",Weird guy
"Even with an armed officer of the law at my back, it was a bit unnerving to open the front door.",['fear'],"armed officer law back, bit unnerving open door."
The outer right side was throbbing in pain and shooting up to my ankle.,"['fear', 'sadness']",outer right throbbing pain shooting ankle.
My heart starts pounding as my eyes scroll up the dress and it was Scarlett.,"['fear', 'surprise']",heart starts pounding eyes scroll dress Scarlett.
I know that feel.,"['joy', 'sadness']",know feel.
I will lose sleep.,"['fear', 'sadness']",lose sleep.
Then we finally saw what was going on.,"['fear', 'joy', 'surprise']",finally saw going on.
"I jumped up frantically ( the receptionist cast an odd glance toward me, and some net users stared ) and looked at my hands.",['fear'],"jumped frantically ( receptionist cast odd glance me, net users stared ) looked hands."
"When they are near me I either scream, or my mind goes blank and I saw whatever pops into my head ( no... seriously, it's kind of sad.","['fear', 'sadness']","near scream, mind goes blank saw pops head ( no... seriously, kind sad."
For dessert and coffee we went to another cafe down the street.,['joy'],dessert coffee went cafe street.
Awkward lunch time... sometimes I think my mouth just kinda glues shut on me.,"['fear', 'sadness']",Awkward lunch time... think mouth kinda glues shut me.
"my head looked up automatically, and the first person out of the others out there, i saw him.","['fear', 'surprise']","head looked automatically, person there, saw him."
"I played around in the water, haha just my feet in the water though, it was too cold.",['joy'],"played water, haha feet water though, cold."
First college room mate ever.,"['joy', 'surprise']",college room mate ever.
And I can't breath through my nose.,['fear'],can't breath nose.
"My head poked out of the grass again, catching sight of the men nearing my position, only about fifteen yards.","['fear', 'sadness']","head poked grass again, catching sight men nearing position, yards."
It was mutually beneficial.,['joy'],mutually beneficial.
Telling me I'm going to hell.,"['anger', 'fear', 'sadness']",Telling I'm going hell.
"I want to learn about you, communicate with you.",['joy'],"want learn you, communicate you."
"I'd just started a new character on a different world than I usually play on, then this guy wants to join my party...","['fear', 'joy', 'surprise']","I'd started new character different world usually play on, guy wants join party..."
"amused So yeah, I broke my nose playing `` flag '' football yesterday.",['sadness'],"amused yeah, broke nose playing `` flag '' football yesterday."
His last days were spent in a cone.,['sadness'],days spent cone.
"I didn't notice either that I was still sitting on the floor, the rug pattern branded on my knees.",['sadness'],"notice sitting floor, rug pattern branded knees."
"I'm very very pale, and any bandages like that stick out like a dark brown blemish.","['fear', 'sadness']","I'm pale, bandages like stick like dark brown blemish."
plus my knees look more hardcore in black and blue.,['joy'],plus knees look hardcore black blue.
"My hands are usually cool, and I defend them, spouting `` Cold hands, warm heart! ''",['joy'],"hands usually cool, defend them, spouting `` Cold hands, warm heart! ''"
"There were dozens of us, crying, screaming, or in shock.","['fear', 'sadness', 'surprise']","dozens us, crying, screaming, shock."
3.Woke up from a horrible dream of my ex boyfriend with his new girlfriend.,"['anger', 'fear', 'sadness']",3.Woke horrible dream ex boyfriend new girlfriend.
